SLUG ÉVÉNEMENT,ORDRE,TEXTE FR,TEXTE EN
## Slug de l'événement concerné (doit correspondre à la colonne SLUG d'events.csv),"Ordre d'affichage du paragraphe (1, 2, 3...)",Paragraphe de description long affiché en français sur la page de l'événement,Traduction en anglais du même paragraphe
croisette,1,Le tout premier événement de l'année. Une croisière sur la Seine permet aux nouveaux arrivants de découvrir les associatifs et la communauté Dauphine. L'occasion de mettre un premier pied dans l'univers du BDE avant le grand WEI.,The very first event of the year. A river cruise on the Seine allows new arrivals to discover the student associations and the Dauphine community. A first taste of the BDE world before the big WEI.
begins,1,"Begins ouvre l'année universitaire avec un format pensé pour se rencontrer, comprendre l'esprit de la promotion et découvrir les associations, les pôles et les visages qui feront vivre Dauphine tout au long de l'année. Un moment simple, accessible et fédérateur pour créer les premiers liens avant les grands rendez-vous du BDE.","Begins opens the academic year with a format designed to help students meet, understand the spirit of the class and discover the associations, teams and people who will bring Dauphine to life throughout the year. A simple, accessible and unifying moment to create the first connections before the major BDE events."
wei,1,"L'âme du BDE Dauphine. Pendant trois jours, notre association concrétise l'intégration des nouveaux étudiants dans l'esprit dauphinois. Soirées thématiques, activités, cohésion — un moment fondateur pour chaque promotion. La préparation commence 6 à 7 mois en amont.","The soul of BDE Dauphine. For three days, our association brings new students into the Dauphine spirit. Themed parties, activities, bonding — a defining moment for every class. Preparation begins 6 to 7 months in advance."
nuitdauphine,1,"L'événement vitrine de notre association et de notre Université. Chaque année, le BDE se délocalise dans les plus grands clubs parisiens pour offrir aux étudiants de la capitale une nuit rythmée par la musique des plus grands. La plus grande soirée étudiante de France hors campus.","The flagship event of our association and university. Every year, the BDE takes over the best Parisian clubs to give students a night driven by the biggest names in music. The largest off-campus student party in France."
howwedau,1,"La soirée emblématique du BDE. Depuis 6 ans, la How We Dau s'est imposée dans l'univers rap des soirées parisiennes avec des showcases exclusifs d'artistes de premier plan. Énergie unique — un format qui grandit chaque année.","The BDE's iconic night. For 6 years, How We Dau has established itself in the Parisian rap scene with exclusive showcases from top-tier artists. Unmatched energy — a format that grows every year."
gala,1,"Le Gala est l'événement de prestige de l'année. Cérémonie d'adieu pour les M2 en présence de l'administration, puis bal dansant ouvert à toute la communauté — des L1 aux M2. Plusieurs salles, plusieurs ambiances, un lieu d'exception.","The Gala is the year's prestige event. A farewell ceremony for final-year students with the administration, followed by a ball open to the entire community — from first year to master's. Multiple rooms, multiple atmospheres, an exceptional venue."
gala,2,L'édition 2026 au Chalet du Lac a réuni 1 500 personnes.,"The 2026 edition at Chalet du Lac brought together 1,500 people."
prixmode,1,"Le Prix Mode propose un format centré sur les défilés de mode et l'expression artistique. Créateurs émergents, mannequins dauphinois et maquilleurs font vivre un festival qui place l'art au cœur du campus. Organisé en collaboration avec le BDA.","Prix Mode offers a format centred on fashion shows and artistic expression. Emerging designers, Dauphine models and make-up artists bring a festival that places art at the heart of campus. Organised in collaboration with the BDA."
dauphinend,1,"La note finale. Dauph'End clôture l'année universitaire avec une dernière soirée mémorable pour toute la communauté Dauphine. Un au revoir à l'année qui passe, avant de repartir pour l'été.","The final note. Dauph'End closes the academic year with one last memorable night for the entire Dauphine community. A farewell to the year gone by, before heading off for the summer."
